LOCATION,TIME,COMPULSORY_PC_GDP,VOLUNTARY_PC_GDP,OOPEXP_PC_GDP,TOT_PC_GDP,COMPULSORY_PC_HEALTHXP,VOLUNTARY_PC_HEALTHXP,OOPEXP_PC_HEALTHXP,COMPULSORY_USD_CAP,VOLUNTARY_USD_CAP,OOPEXP_USD_CAP,TOT_USD_CAP
ARG,2003,3.774,3.121,1.948,6.895,54.733,45.267,28.25,,,,
ARG,2004,3.746,3.483,1.997,7.229,51.822,48.178,27.63,,,,
ARG,2005,3.915,3.696,2.517,7.611,51.442,48.558,33.068,,,,
ARG,2006,4.019,3.621,2.476,7.64,52.605,47.395,32.411,,,,
ARG,2007,4.257,3.578,2.451,7.835,54.332,45.668,31.286,,,,
ARG,2008,4.509,3.674,2.476,8.183,55.1,44.9,30.262,,,,
ARG,2009,5.672,3.784,2.476,9.456,59.983,40.017,26.187,,,,
ARG,2010,5.572,3.874,2.53,9.445,58.988,41.012,26.78,,,,
ARG,2011,5.688,3.73,2.533,9.418,60.391,39.609,26.893,1040.819,682.647,463.491,1723.466
ARG,2012,6.144,3.683,2.564,9.827,62.52,37.48,26.087,1144.778,686.288,477.679,1831.066
ARG,2013,6.264,3.517,2.623,9.781,64.039,35.961,26.817,1209.008,678.918,506.293,1887.926
ARG,2014,6.361,3.31,2.615,9.671,65.775,34.225,27.042,1202.92,625.925,494.558,1828.845
ARG,2015,6.853,3.376,2.653,10.229,66.997,33.003,25.932,1330.938,655.634,515.165,1986.572
ARG,2016,5.619,3.383,2.662,9.002,62.415,37.585,29.569,1101.09,663.048,521.631,1764.138
ARG,2017,6.644,3.798,2.698,10.442,63.629,36.371,25.841,1623.848,928.199,659.479,2552.047
ARG,2018,5.883,3.651,2.644,9.534,61.704,38.296,27.73,1419.077,880.73,637.726,2299.808
ARG,2019,5.857,3.498,2.588,9.355,62.605,37.395,27.659,1411.145,842.902,623.436,2254.047
ARG,2020,6.644,3.34,2.417,9.984,66.546,33.454,24.211,1443.829,725.832,525.287,2169.661
AUS,2003,5.363,2.518,1.509,7.881,68.05,31.95,19.148,1754.813,823.896,493.762,2578.709
AUS,2004,5.527,2.56,1.554,8.087,68.345,31.655,19.219,1926.05,892.086,541.61,2818.137
AUS,2005,5.452,2.518,1.566,7.97,68.402,31.598,19.643,1964.812,907.628,564.235,2872.44
AUS,2006,5.449,2.528,1.575,7.977,68.307,31.693,19.749,2046.759,949.637,591.771,2996.396
AUS,2007,5.583,2.472,1.531,8.055,69.308,30.692,19.003,2217.728,982.108,608.051,3199.837
AUS,2008,5.691,2.557,1.571,8.249,68.998,31.002,19.042,2311.545,1038.599,637.921,3350.144
AUS,2009,5.921,2.624,1.628,8.545,69.296,30.704,19.053,2368.419,1049.413,651.194,3417.833
AUS,2010,5.779,2.641,1.663,8.42,68.636,31.364,19.749,2466.376,1127.019,709.67,3593.395
AUS,2011,5.909,2.628,1.637,8.537,69.214,30.786,19.172,2636.42,1172.692,730.301,3809.112
AUS,2012,5.858,2.816,1.729,8.675,67.536,32.464,19.934,2602.958,1251.232,768.307,3854.19
AUS,2013,5.685,3.065,1.709,8.751,64.97,35.03,19.527,2655.875,1431.974,798.231,4087.849
AUS,2014,6.644,3.19,1.755,9.834,67.561,32.439,17.847,3078.421,1478.071,813.214,4556.492
AUS,2015,6.984,3.199,1.752,10.182,68.587,31.413,17.202,3275.818,1500.341,821.589,4776.158
AUS,2016,6.943,3.149,1.71,10.093,68.795,31.205,16.947,3465.407,1571.859,853.644,5037.266
AUS,2017,6.987,3.135,1.681,10.123,69.027,30.973,16.604,3502.863,1571.79,842.612,5074.653
AUS,2018,6.995,3.065,1.634,10.06,69.536,30.464,16.244,3609.536,1581.351,843.222,5190.886
AUS,2019,7.347,2.873,1.506,10.22,71.892,28.108,14.734,3685.634,1441.019,755.359,5126.653
AUS,2020,7.683,3.001,1.593,10.684,71.914,28.086,14.913,4093.631,1598.771,848.888,5692.402
AUT,2003,7.112,2.435,1.803,9.547,74.498,25.502,18.888,2382.439,815.561,604.05,3198.001
AUT,2004,7.125,2.585,1.874,9.709,73.38,26.62,19.302,2502.963,908.011,658.383,3410.974
AUT,2005,7.122,2.505,1.847,9.627,73.975,26.025,19.183,2571.288,904.58,666.785,3475.868
AUT,2006,7.091,2.44,1.792,9.531,74.4,25.6,18.806,2704.417,930.534,683.599,3634.95
AUT,2007,7.089,2.444,1.793,9.532,74.365,25.635,18.806,2822.617,973.026,713.814,3795.642
AUT,2008,7.29,2.435,1.774,9.726,74.959,25.041,18.244,3005.333,1003.974,731.455,4009.307
